ID,Age,Sex,FinalWeight,AgeOfYoungestChild,WorkHoursPerWeek,LaborForceStatus,EmploymentType,CurrentPostSecondaryStudent,HighSchoolOrCollege,PartnerEmployment,PartnerEmploymentType,NumberOfHouseholdChildren,WeeklyEarnings,Holiday,ElderCareTime,SecondaryChildCare,DiaryDayOfWeek,Sleeping,Sleeplessness,PersonalActivities,Housecleaning,Laundry,hvac_repair,FinancialManagement,HousePlanning,social_social,social_events_1,social_events_2,TvAndMovies,Radio,Music,Games,Computer,ArtsAndCrafts,Reading,Writing,Museums,Movies,Casinos,Relaxing,Aerobics,Baseball,Basketball,Biking,Billiards,Boating,Bowling,Climbing,Dancing,Equestrian,Fishing,Football,Golf,Hiking,Hockey,Hunting,MartialArts,RaquetSports,Rollerblading,Running,SnowSports,Soccer,Softball,Cardio,CarRacing,Volleyball,Walking,WaterSports,Weightlifting,WorkingOut,Yoga,WatchingBaseball,WatchingBasketball,WatchingEquestrian,WatchingFishing,WatchingFootball,WatchingHiking,WatchingRaquetSports,WatchingRunning,WatchingSoftball,SelfCare,Cooking,HomeMaintenance,Lawn,AnimalCare,VehicleCare,ChildCare,ChildPlay,ChildEducation,ChildHealth,AdultCare,Work,TakingClass,Homework,Shopping,RelgiousActivities,Volunteering,Telephone,Traveling
20201009200673,74,Female,12553159.613795,NA,-1,Not In Labor Force,NA,NA,NA,NA,NA,0,NA,FALSE,-1,0,Tuesday,750,0,0,20,0,0,0,0,0,0,0,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
20201009201263,53,Female,7545838.989256,NA,-1,Not In Labor Force,NA,NA,NA,Employed,Full Time,0,NA,FALSE,190,0,Thursday,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,480,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,110
20201009201267,64,Female,5479213.263025,NA,-1,Not In Labor Force,NA,NA,NA,Employed,Part Time,0,NA,FALSE,-1,0,Saturday,480,0,0,0,0,0,0,15,45,0,0,195,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,0,120,0,0,0,0,0,0,0,0,0,0,45,0,0,75,90
20201009201287,34,Female,2045698.938408,5,035,Employed,Full Time,FALSE,NA,NA,NA,2,1400,FALSE,-1,380,Saturday,585,0,0,45,0,0,0,0,65,0,0,120,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,60,0,0,15,0,35,30,0,0,0,0,0,0,20,0,0,0,75
20201009201310,62,Male,5225871.266132,NA,048,Employed,Full Time,NA,NA,Employed,Full Time,0,1122.44,FALSE,-1,0,Saturday,605,0,0,0,0,0,0,0,102,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,165,160,0,0,0,0,0,0,0,0,0,0,10,0,0,0,78
20201009201538,44,Female,4774283.88194,8,045,Employed,Full Time,FALSE,NA,Employed,Full Time,2,1538.46,FALSE,-1,525,Saturday,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,165,0,0,0,0,30,0,0,0,0,330,0,0,0,0,0,0,110
20201009201674,60,Female,4258364.763171,NA,006,Employed,Part Time,NA,NA,NA,NA,0,162,FALSE,-1,0,Sunday,390,0,0,90,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201009202412,68,Male,7235504.979814,NA,-1,Not In Labor Force,NA,NA,NA,Not Employed,NA,0,NA,FALSE,-1,0,Tuesday,337,0,0,0,0,0,25,0,228,0,0,150,0,0,0,0,0,90,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,25,43,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,15,139
20201010201984,67,Male,2588132.141381,NA,-1,Unemployed,NA,NA,NA,NA,NA,0,NA,FALSE,-1,0,Sunday,480,0,0,0,0,0,0,0,0,0,0,905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20
20201110201283,57,Male,8293841.040729,NA,040,Employed,Full Time,NA,NA,Not Employed,NA,0,1607.5,FALSE,-1,0,Tuesday,465,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,15,0,0,0,105,0,0,0,0,0,0,460,0,0,30,0,0,0,20
20201110201521,56,Female,3448799.286491,NA,-1,Not In Labor Force,NA,NA,NA,Employed,Full Time,0,NA,FALSE,0,0,Sunday,480,0,0,105,120,0,15,0,0,0,0,185,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,10,0,0,0,0,0,0,0,0,0,0,60,0,120,0,10
20201110201688,75,Female,2677381.960843,NA,-1,Not In Labor Force,NA,NA,NA,NA,NA,0,NA,FALSE,-1,0,Saturday,510,90,0,0,5,0,0,10,5,0,0,130,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,68,0,0,0,32
20201110201805,62,Female,14686125.815607,8,-1,Not In Labor Force,NA,NA,NA,Employed,Hours Vary,2,NA,FALSE,-1,750,Monday,533,0,0,0,40,0,20,0,60,0,0,105,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,200,0,0,0,0,72,45,0,0,0,0,0,0,60,0,0,0,40
20201111201177,71,Male,3498895.272203,NA,-1,Not In Labor Force,NA,NA,NA,NA,NA,0,NA,FALSE,-1,0,Sunday,330,0,0,0,0,0,0,0,0,0,0,909,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0
20201210202254,38,Male,5692777.919617,8,040,Employed,Full Time,FALSE,NA,Employed,Part Time,2,1730.76,FALSE,-1,393,Sunday,600,0,0,170,0,0,0,0,10,0,0,313,0,0,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,35,0,0,0,0,0,0,0,0,0,0,0,0,20,83,0,0,114
20201211200964,53,Female,3778386.514927,16,050,Employed,Full Time,NA,NA,NA,NA,1,288.46,FALSE,-1,0,Tuesday,317,0,0,15,0,0,0,0,53,0,0,130,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,55,0,0,25,0,20,0,0,0,0,477,0,0,0,0,0,0,18
20201211201959,40,Male,15235389.002812,2,040,Employed,Full Time,FALSE,NA,Employed,Full Time,2,2884.61,FALSE,-1,120,Tuesday,491,0,0,0,0,0,0,0,80,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,10,40,180,0,0,0,65,50,0,0,0,90,0,0,0,0,0,0,94
20201212200691,46,Male,2217860.174239,5,045,Employed,Full Time,FALSE,NA,Employed,Full Time,2,1884.61,FALSE,-1,30,Sunday,420,0,0,0,0,0,0,0,25,0,0,60,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,257,30,0,0,0,495,0,0,5,0,0,41,20
20201212201266,58,Female,14914977.399482,NA,045,Employed,Full Time,NA,NA,Employed,Full Time,0,730.76,FALSE,-1,0,Monday,420,0,0,0,0,0,0,0,255,0,0,180,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,15,0,0,0,0,0,0,0,0,0,180,0,0,60,0,30,0,105
